"Year","Medicaid_Spending_Reduction_B","Jobs_Lost_K","GDP_Reduction_B","Tax_Revenue_Reduction_B","Medical_Debt_B","Economic_Activity_Reduction_B","Employment_Barriers_M","Economic_Loss_Barriers_B"
2025,8,30,13.5,1.1,2.9,1.5,0.1,1.6
2026,15.9,60,27.1,2.2,5.9,2.9,0.1,3.2
2027,23.9,91,40.6,3.3,8.8,4.4,0.2,4.8
2028,31.8,121,54.1,4.4,11.7,5.9,0.3,6.4
2029,39.8,151,67.6,5.5,14.7,7.3,0.3,8
2030,47.7,181,81.2,6.7,17.6,8.8,0.4,9.6
2031,55.7,212,94.7,7.8,20.6,10.3,0.4,11.2
2032,63.6,242,108.2,8.9,23.5,11.7,0.5,12.8
2033,71.6,272,121.7,10,26.4,13.2,0.6,14.4
2034,79.6,302,135.3,11.1,29.4,14.7,0.6,16
