"Category","Value"
"Coverage Changes (millions)",""
"Medicaid Reduction","14.4"
"State-Only Program Reduction","1.4"
"Marketplace Transition","0.6"
"Employer-Sponsored Insurance Transition","0.8"
"Uninsured Increase","11.7"
"",""
"Health Outcomes (annual)",""
"Excess Deaths","2,284"
"Preventable Hospitalizations","145,946"
"People Delaying Care Due to Cost (millions)","2.5"
"Medication Non-adherence Cases (millions)","2.9"
"",""
"Economic Impacts (annual)",""
"Medicaid Spending Reduction ($ billions)","107.4"
"Jobs Lost (thousands)","408"
"GDP Reduction ($ billions)","182.6"
"Tax Revenue Reduction ($ billions)","15"
"Medical Debt ($ billions)","45.2"
"Economic Activity Reduction from Medical Debt ($ billions)","22.6"
"People with Employment Barriers Due to Medical Debt (millions)","1"
"Economic Loss from Employment Barriers ($ billions)","24.6"
"",""
"Healthcare System Impacts (annual)",""
"Rural Hospitals at High Risk of Closure","112"
"FQHC Medicaid Patients Lost (millions)","6.9"
"FQHC Uninsured Patients Gained (millions)","2.9"
"FQHC Revenue Change ($ billions)","4.5"
"FQHC Revenue Reduction (%)","26.1"
"",""
"Work Requirements Impact (annual)",""
"Coverage Loss Due to Work Requirements (millions)","2.72"
"Coverage Loss Due to Administrative Burden (millions)","2.18"
"Net Employment Effect (millions)","-0.54"
"",""
"Medical Debt Impact (annual)",""
"People with Serious Medical Debt Problems (millions)","5.8"
"People Delaying Care Due to Cost (millions)","6.6"
"People Delaying Medications Due to Cost (millions)","7.5"
